DAR;Diensten Algemeen Regeringsbeleid
IV;Internationaal Vlaanderen
OV;Onderwijs en Vorming
CJSM;Cultuur, Jeugd, Sport en Media
LV;Landbouw en Visserij
MOW;Mobiliteit en Openbare Werken
BZ;Bestuurszaken
FB;FinanciÃ«n en Begroting
EWI;Economie, Wetenschap en Innovatie
WVG;Welzijn, Volksgezondheid en Gezin
WSE;Werk en Sociale Economie
LNE;Leefmilieu, Natuur en Energie
RWO;Ruimtelijke Ordening, Woonbeleid en Onroerend Erfgoed
KB;Kanselarij en Bestuur
OMG;Omgeving
KBBJ;Kanselarij, Bestuur, Buitenlandse Zaken en Justitie