aankondiging,andere
addendum,andere
arrest,andere
beraadslaging,andere
berc,andere
bericht,bericht
beslissing,andere
beslissing bestendige deputatie,andere
beslissing vlaams commissariaat voor de media,andere
beslissing vr,andere
beslissing vreg,andere
besluit,andere
besluit adm.-gen.,besluit_leidend_ambtenaar
besluit afdelingshoofd,besluit_leidend_ambtenaar
besluit bestendige deputatie,andere
besluit dir.-gen.,besluit_leidend_ambtenaar
besluit gemeenteraad,andere
besluit gouverneur,andere
besluit hoofd agentschap,besluit_leidend_ambtenaar
besluit hoofd dpt.,besluit_leidend_ambtenaar
besluit instellingshoofd,besluit_leidend_ambtenaar
besluit ovam,andere
besluit raad van bestuur,andere
besluit secr.-gen.,besluit_leidend_ambtenaar
besluit secr.-gen./besluit afdelingshoofd,besluit_leidend_ambtenaar
besluit van het comit̩ van ministers van de ntu,andere
bijlage,andere
bvr,bvr
contract,andere
decreet,decreet
erratum,erratum
goedkeuring,andere
hoofd interne audit,andere
kb,kb
lijst,andere
mb,mb
mededeling,andere
mt,andere
notulen,andere
omzendbrief,omzendbrief
oproep,andere
overeenkomst,andere
plan,andere
protocol,andere
reglement,andere
samenwerkingsakkoord,andere
verdrag,andere
wegen,andere
